1.0;87.0;1.0;0.2;0.0;0.8
1.0;194.0;3.0;1.05;4.0;0.55
1.0;116.0;2.0;1.05;0.0;0.55
1.0;62.0;0.0;0.1;0.0;0.95
1.0;149.0;2.0;1.1;4.0;0.7
1.0;30.0;4.0;1.0;0.0;0.6
1.0;135.0;1.0;0.45;0.0;1.0
1.0;26.0;4.0;0.15;2.0;0.25
1.0;105.0;1.0;0.3;4.0;0.6
1.0;199.0;3.0;1.85;1.0;0.3
2.0;45.0;0.0;0.1;1.0;0.4
2.0;149.0;2.0;1.7;2.0;0.5
2.0;39.0;4.0;1.7;4.0;1.65
2.0;78.0;1.0;0.25;4.0;0.7
2.0;145.0;2.0;0.55;4.0;0.2
2.0;160.0;3.0;1.1;1.0;0.95
2.0;4.0;4.0;0.4;2.0;0.2
2.0;11.0;2.0;1.85;0.0;0.8
2.0;48.0;4.0;1.95;0.0;0.7
2.0;40.0;1.0;0.2;2.0;1.45
3.0;15.0;4.0;1.0;2.0;0.85
3.0;120.0;1.0;0.75;3.0;1.35
3.0;71.0;3.0;1.9;3.0;1.5
3.0;43.0;1.0;0.85;2.0;0.15
3.0;196.0;0.0;0.3;0.0;0.6
3.0;145.0;2.0;0.95;1.0;0.35
3.0;158.0;0.0;1.0;0.0;0.45
3.0;51.0;2.0;0.9;2.0;1.4
3.0;51.0;1.0;0.5;2.0;1.25
3.0;59.0;2.0;0.85;0.0;0.85
