,model1,model2,alpha1,alpha2,change_point,eduN_cp,eduN_m1,eduN_a1,eduN_m2,eduN_a2,FCI_cp,FCI_m1,FCI_a1,FCI_m2,FCI_a2,BIT_cp,BIT_m1,BIT_a1,BIT_m2,BIT_a2
0,2.0,4.0,1.8,1.95,130.0,132.26653000000002,2.0,1.57101,4.0,1.3641299999999998,130.0,2.0,1.6880395412445068,2.0,1.2416611909866333,130.0,2.0,1.805,2.0,1.311
1,3.0,0.0,1.7,0.3,57.0,55.21043,3.0,1.74258,4.0,0.87387,57.0,3.0,1.6503225564956665,2.0,0.8329898715019226,57.0,3.0,1.6147,0.0,0.44748999999999994
2,1.0,3.0,0.55,1.0,68.0,69.54655,1.0,0.44803000000000004,3.0,1.25842,68.0,1.0,0.4558607041835785,3.0,1.3875030279159546,68.0,3.0,1.3737,3.0,1.3737
3,0.0,4.0,0.55,1.65,5.0,8.56056,4.0,0.8062199999999999,4.0,1.68277,5.0,3.0,1.0216761827468872,4.0,1.4511300325393677,5.0,2.0,0.8079,4.0,1.4021
4,3.0,3.0,2.0,1.15,10.0,2.00595,2.0,1.27665,3.0,1.2210299999999998,199.0,3.0,1.097781538963318,0.0,1.0,147.0,2.0,1.5118,2.0,1.9999
5,2.0,4.0,1.5,1.4,23.0,29.164509999999996,4.0,1.3223,4.0,1.04376,100.0,2.0,0.9490703344345092,2.0,0.9490703344345092,19.0,2.0,1.2874,4.0,1.0047
6,0.0,3.0,0.2,1.2,109.0,108.24703999999998,0.0,0.34918000000000005,3.0,1.4341700000000002,109.0,0.0,0.4157287180423737,3.0,1.3343390226364136,109.0,3.0,0.46583,2.0,1.5513
7,1.0,3.0,0.75,1.95,3.0,7.0764,2.0,0.89207,3.0,1.73207,3.0,3.0,1.082744598388672,3.0,1.5629563331604004,4.0,2.0,0.9232299999999999,2.0,1.8644
8,1.0,3.0,0.45,2.0,149.0,152.19686000000002,1.0,0.5928,3.0,1.59625,150.0,1.0,0.5867525339126587,3.0,1.4981018304824831,147.0,1.0,0.52764,1.0,0.92996
9,4.0,1.0,0.6,0.95,131.0,140.52285,2.0,0.71329,1.0,0.94125,148.0,2.0,0.8049728870391846,1.0,0.8105841875076294,147.0,2.0,0.79357,1.0,0.93437
10,3.0,4.0,1.05,1.35,161.0,161.18956,3.0,1.33461,4.0,0.8876700000000001,161.0,3.0,1.248356580734253,4.0,0.8410822153091431,161.0,2.0,1.442,2.0,0.9509
11,4.0,4.0,1.1,1.95,80.0,68.20052,4.0,0.69539,4.0,1.03189,100.0,2.0,0.6774454116821289,2.0,0.6774454116821289,73.0,2.0,0.89554,4.0,0.9802700000000001
12,0.0,1.0,0.1,0.5,124.0,122.41128,0.0,0.60183,1.0,0.33499,124.0,0.0,0.5322728157043457,1.0,0.3149118423461914,70.0,3.0,0.055626,3.0,0.055626
13,0.0,4.0,1.0,0.7,99.0,97.01386,0.0,0.79219,0.0,0.69103,97.0,0.0,0.7174909114837646,0.0,0.7345112562179565,96.0,1.0,0.9432799999999999,0.0,0.30523
14,0.0,1.0,0.25,0.9,74.0,74.02038,2.0,0.96786,1.0,0.7775,74.0,3.0,1.1392560005187988,1.0,0.8366042971611023,75.0,2.0,0.9918100000000001,1.0,0.86431
15,2.0,4.0,1.1,0.05,57.0,58.61577,4.0,1.2711299999999999,4.0,0.5847399999999999,55.0,4.0,1.3059029579162598,4.0,0.7173265218734741,54.0,4.0,1.4675,0.0,0.44738
16,3.0,3.0,1.3,1.65,176.0,178.69826,3.0,1.68241,2.0,1.38831,176.0,3.0,1.6498159170150757,3.0,1.5509438514709473,176.0,3.0,1.1572,2.0,1.6557
17,3.0,2.0,1.1,1.9,137.0,168.4284,3.0,1.37534,2.0,1.37096,133.0,3.0,1.224197268486023,2.0,1.7977885007858276,133.0,3.0,1.4917,2.0,1.8859
18,2.0,3.0,0.6,1.15,35.0,34.57983,4.0,0.7307600000000001,2.0,1.27791,35.0,2.0,0.6840280890464783,3.0,1.1868859529495241,35.0,2.0,0.74182,2.0,1.4452
19,4.0,0.0,1.75,0.95,46.0,44.47992,4.0,1.00121,0.0,0.63761,46.0,4.0,1.2479163408279421,0.0,0.8539796471595764,46.0,1.0,0.87439,4.0,0.9690799999999999
20,1.0,0.0,0.45,0.9,15.0,13.52249,2.0,0.72635,0.0,0.76851,15.0,2.0,0.7722647190093994,2.0,0.7125002145767212,15.0,0.0,0.27909,0.0,0.25451
21,1.0,4.0,0.7,1.45,196.0,2.4689900000000002,1.0,0.8174,1.0,0.81147,196.0,1.0,0.5770818591117859,3.0,0.9172029495239258,33.0,1.0,0.8924799999999999,1.0,0.3506
22,1.0,4.0,0.2,0.1,169.0,167.775,1.0,0.3412,4.0,0.99165,169.0,1.0,0.33219295740127563,0.0,1.0061497688293457,169.0,1.0,0.34801,2.0,1.1319
23,2.0,3.0,1.8,1.7,120.0,118.18486999999999,2.0,1.86427,2.0,1.0211,119.0,2.0,1.7691973447799685,3.0,1.5414022207260132,119.0,2.0,1.8266,2.0,1.6227
24,4.0,1.0,0.95,0.8,162.0,156.57103999999998,4.0,0.89759,1.0,0.9799700000000001,161.0,2.0,0.9012713432312012,1.0,1.1263870000839231,185.0,1.0,0.93165,1.0,0.7057
25,3.0,4.0,1.8,0.95,173.0,173.54478999999998,3.0,1.74725,2.0,0.988,100.0,3.0,1.5668600797653198,3.0,1.5668600797653198,170.0,2.0,1.829,2.0,1.0835
26,3.0,0.0,1.6,0.85,150.0,149.59995,3.0,1.5343,2.0,0.5066,150.0,3.0,1.358394980430603,2.0,0.7112400531768799,150.0,3.0,1.5168,4.0,0.8910299999999999
