1.0;113.0;4.0;0.35;0.0;1.0
1.0;124.0;2.0;1.4;0.0;0.05
1.0;146.0;1.0;0.35;4.0;1.15
1.0;90.0;0.0;1.0;1.0;0.7
1.0;107.0;4.0;2.0;4.0;1.8
1.0;77.0;4.0;0.6;2.0;1.75
1.0;191.0;3.0;1.75;4.0;0.65
1.0;179.0;4.0;1.3;3.0;1.75
1.0;152.0;2.0;1.3;4.0;1.75
1.0;35.0;4.0;0.75;2.0;1.35
2.0;6.0;1.0;1.0;2.0;0.65
2.0;139.0;2.0;1.3;0.0;0.85
2.0;41.0;3.0;1.05;2.0;0.75
2.0;144.0;4.0;1.6;1.0;0.6
2.0;55.0;4.0;0.7;4.0;2.0
2.0;107.0;0.0;0.2;2.0;0.35
2.0;88.0;2.0;1.75;4.0;1.15
2.0;32.0;0.0;0.95;4.0;1.05
2.0;50.0;0.0;0.1;2.0;1.65
2.0;157.0;0.0;0.05;3.0;1.9
3.0;28.0;1.0;0.55;0.0;0.45
3.0;34.0;4.0;1.3;2.0;1.45
3.0;103.0;4.0;2.0;1.0;0.3
3.0;162.0;4.0;1.25;2.0;1.3
3.0;27.0;2.0;1.65;3.0;1.55
3.0;105.0;2.0;0.5;1.0;0.65
3.0;13.0;3.0;1.65;2.0;0.25
3.0;14.0;0.0;0.75;2.0;0.5
3.0;40.0;1.0;0.05;0.0;0.8
3.0;74.0;4.0;1.5;0.0;0.9
